,datetime,load_consumption
0,2025-02-24 17:38:00,48839.879559236164
1,2025-02-24 17:43:00,
2,2025-02-24 17:48:00,
3,2025-02-24 17:53:00,
4,2025-02-24 17:58:00,47671.29436736941
5,2025-02-24 18:03:00,
6,2025-02-24 18:08:00,
7,2025-02-24 18:13:00,
8,2025-02-24 18:18:00,50216.54826714993
9,2025-02-24 18:23:00,47385.52490879774
10,2025-02-24 18:28:00,50258.70937123954
11,2025-02-24 18:33:00,
12,2025-02-24 18:38:00,
13,2025-02-24 18:43:00,
14,2025-02-24 18:48:00,
15,2025-02-24 18:53:00,
16,2025-02-24 18:58:00,50284.241961768865
17,2025-02-24 19:03:00,49246.615776545405
18,2025-02-24 19:08:00,48917.31948050558
19,2025-02-24 19:13:00,
20,2025-02-24 19:18:00,
21,2025-02-24 19:23:00,
22,2025-02-24 19:28:00,
23,2025-02-24 19:33:00,
24,2025-02-24 19:38:00,
25,2025-02-24 19:43:00,
26,2025-02-24 19:48:00,
27,2025-02-24 19:53:00,
28,2025-02-24 19:58:00,
29,2025-02-24 20:03:00,
30,2025-02-24 20:08:00,
31,2025-02-24 20:13:00,
32,2025-02-24 20:18:00,
33,2025-02-24 20:23:00,
34,2025-02-24 20:28:00,
35,2025-02-24 20:33:00,
36,2025-02-24 20:38:00,
37,2025-02-24 20:43:00,
38,2025-02-24 20:48:00,
39,2025-02-24 20:53:00,
40,2025-02-24 20:58:00,
41,2025-02-24 21:03:00,
42,2025-02-24 21:08:00,
43,2025-02-24 21:13:00,
44,2025-02-24 21:18:00,
45,2025-02-24 21:23:00,
46,2025-02-24 21:28:00,
47,2025-02-24 21:33:00,
48,2025-02-24 21:38:00,
49,2025-02-24 21:43:00,
50,2025-02-24 21:48:00,48487.19547335386
51,2025-02-24 21:53:00,48063.33869997382
52,2025-02-24 21:58:00,48885.753060985204
53,2025-02-24 22:03:00,
54,2025-02-24 22:08:00,49205.22743152678
55,2025-02-24 22:13:00,48401.31513055801
56,2025-02-24 22:18:00,48911.976403500434
57,2025-02-24 22:23:00,49348.780833967925
58,2025-02-24 22:28:00,49092.035575279
59,2025-02-24 22:33:00,48796.031001665
60,2025-02-24 22:38:00,49554.75739875197
61,2025-02-24 22:43:00,49869.79707846165
62,2025-02-24 22:48:00,50431.47622068286
63,2025-02-24 22:53:00,48117.810329182146
64,2025-02-24 22:58:00,47216.40422052205
65,2025-02-24 23:03:00,45898.436814935805
66,2025-02-24 23:08:00,45977.32763078749
67,2025-02-24 23:13:00,46716.47325925111
68,2025-02-24 23:18:00,44901.7037781018
69,2025-02-24 23:23:00,41743.06211483538
70,2025-02-24 23:28:00,41137.84351867139
71,2025-02-24 23:33:00,42627.577918086645
72,2025-02-24 23:38:00,43929.263763164876
73,2025-02-24 23:43:00,40251.94621144831
74,2025-02-24 23:48:00,41128.10675437689
75,2025-02-24 23:53:00,42786.249011251326
76,2025-02-24 23:58:00,43498.496315807104
77,2025-02-25 00:03:00,41518.558257059456
78,2025-02-25 00:08:00,40485.70740748286
79,2025-02-25 00:13:00,38053.52550744116
80,2025-02-25 00:18:00,35226.83275400519
81,2025-02-25 00:23:00,34439.71613488555
82,2025-02-25 00:28:00,37388.10424846887
83,2025-02-25 00:33:00,43874.25593378484
84,2025-02-25 00:38:00,41686.7484803313
85,2025-02-25 00:43:00,37467.93183756172
86,2025-02-25 00:48:00,32037.394276170733
87,2025-02-25 00:53:00,32800.28095576644
88,2025-02-25 00:58:00,37375.40261263668
89,2025-02-25 01:03:00,42909.80214728772
90,2025-02-25 01:08:00,42347.75397318363
91,2025-02-25 01:13:00,37886.54331161499
92,2025-02-25 01:18:00,31541.547898560762
93,2025-02-25 01:23:00,31858.987862568498
94,2025-02-25 01:28:00,40141.2051053971
95,2025-02-25 01:33:00,41447.8208379364
96,2025-02-25 01:38:00,38926.18497866034
97,2025-02-25 01:43:00,31912.834976282717
98,2025-02-25 01:48:00,30447.235892831686
99,2025-02-25 01:53:00,34503.85513777792
100,2025-02-25 01:58:00,40360.77276747465
101,2025-02-25 02:03:00,41168.10097894907
102,2025-02-25 02:08:00,39498.383106603025
103,2025-02-25 02:13:00,33183.24773487568
104,2025-02-25 02:18:00,31336.69104589999
105,2025-02-25 02:23:00,35090.19948789776
106,2025-02-25 02:28:00,40498.84431168973
107,2025-02-25 02:33:00,40407.06892112374
108,2025-02-25 02:38:00,37282.3024922347
109,2025-02-25 02:43:00,29596.98958878994
110,2025-02-25 02:48:00,30510.154251803757
111,2025-02-25 02:53:00,36451.242691984175
112,2025-02-25 02:58:00,40515.71884650528
113,2025-02-25 03:03:00,40130.49371843755
114,2025-02-25 03:08:00,38550.349661834836
115,2025-02-25 03:13:00,30636.49562873304
116,2025-02-25 03:18:00,31548.60997023404
117,2025-02-25 03:23:00,38142.86907252252
118,2025-02-25 03:28:00,43753.655052811504
119,2025-02-25 03:33:00,42216.892744218705
120,2025-02-25 03:38:00,37552.8249412179
121,2025-02-25 03:43:00,31534.085253818037
122,2025-02-25 03:48:00,30315.06570462406
123,2025-02-25 03:53:00,35469.311934008
124,2025-02-25 03:58:00,41039.14799177169
125,2025-02-25 04:03:00,40902.64089041054
126,2025-02-25 04:08:00,39093.4258122164
127,2025-02-25 04:13:00,33312.79054224193
128,2025-02-25 04:18:00,31730.861254479292
129,2025-02-25 04:23:00,32255.280793004036
130,2025-02-25 04:28:00,36161.615746294854
131,2025-02-25 04:33:00,40346.55715468705
132,2025-02-25 04:38:00,40686.05071634531
133,2025-02-25 04:43:00,37889.845673848984
134,2025-02-25 04:48:00,30645.40916805804
135,2025-02-25 04:53:00,30641.74723629713
136,2025-02-25 04:58:00,34638.791488047835
137,2025-02-25 05:03:00,40706.328545191885
138,2025-02-25 05:08:00,43924.665058162806
139,2025-02-25 05:13:00,39035.547734858395
140,2025-02-25 05:18:00,37283.680842087866
141,2025-02-25 05:23:00,36477.3114826852
142,2025-02-25 05:28:00,35872.09604063987
143,2025-02-25 05:33:00,38307.350052253605
144,2025-02-25 05:38:00,40659.97246328831
145,2025-02-25 05:43:00,39816.07855422199
146,2025-02-25 05:48:00,35531.75402106285
147,2025-02-25 05:53:00,32336.18709067762
148,2025-02-25 05:58:00,32072.68886394382
149,2025-02-25 06:03:00,33482.0310870266
150,2025-02-25 06:08:00,38216.76376442134
151,2025-02-25 06:13:00,42018.90871611178
152,2025-02-25 06:18:00,41165.87101705849
153,2025-02-25 06:23:00,37333.080648495554
154,2025-02-25 06:28:00,34114.46972720146
155,2025-02-25 06:33:00,32894.25161291778
156,2025-02-25 06:38:00,35881.57101308584
157,2025-02-25 06:43:00,43762.20271437227
158,2025-02-25 06:48:00,43902.75024173319
159,2025-02-25 06:53:00,43082.49645200193
160,2025-02-25 06:58:00,40506.354268212315
161,2025-02-25 07:03:00,38350.4763166523
162,2025-02-25 07:08:00,38455.62201620579
163,2025-02-25 07:13:00,38817.172329633235
164,2025-02-25 07:18:00,37763.3939027667
165,2025-02-25 07:23:00,37925.79316418409
166,2025-02-25 07:28:00,40343.82884204864
167,2025-02-25 07:33:00,42874.36247005641
168,2025-02-25 07:38:00,43271.04966532409
169,2025-02-25 07:43:00,42704.01798374176
170,2025-02-25 07:48:00,41202.014062750335
171,2025-02-25 07:53:00,40776.30897583723
172,2025-02-25 07:58:00,40739.34270517588
173,2025-02-25 08:03:00,40581.781861778494
174,2025-02-25 08:08:00,41120.918517957325
175,2025-02-25 08:13:00,42093.16928577483
176,2025-02-25 08:18:00,43006.788141875266
177,2025-02-25 08:23:00,42866.231152158376
178,2025-02-25 08:28:00,43350.208581261635
179,2025-02-25 08:33:00,43177.22725174963
180,2025-02-25 08:38:00,44255.655115921494
181,2025-02-25 08:43:00,47073.75920425415
182,2025-02-25 08:48:00,48432.08355805814
183,2025-02-25 08:53:00,50217.23586501717
184,2025-02-25 08:58:00,50892.826002539994
185,2025-02-25 09:03:00,
186,2025-02-25 09:08:00,49948.249471819996
187,2025-02-25 09:13:00,49565.07767499804
188,2025-02-25 09:18:00,48963.44846586585
189,2025-02-25 09:23:00,49988.852441293
190,2025-02-25 09:28:00,
191,2025-02-25 09:33:00,
192,2025-02-25 09:38:00,49532.21806682825
193,2025-02-25 09:43:00,47992.98923744559
194,2025-02-25 09:48:00,50778.41665649056
195,2025-02-25 09:53:00,50491.461249303815
196,2025-02-25 09:58:00,
197,2025-02-25 10:03:00,48652.430287443996
198,2025-02-25 10:08:00,46717.84530086696
199,2025-02-25 10:13:00,48078.938970851894
200,2025-02-25 10:18:00,49046.15576529264
201,2025-02-25 10:23:00,50799.426240865585
202,2025-02-25 10:28:00,
203,2025-02-25 10:33:00,49931.210922834274
204,2025-02-25 10:38:00,48943.33149707079
205,2025-02-25 10:43:00,49622.223996827604
206,2025-02-25 10:48:00,50966.24126840293
207,2025-02-25 10:53:00,
208,2025-02-25 10:58:00,
209,2025-02-25 11:03:00,
210,2025-02-25 11:08:00,
211,2025-02-25 11:13:00,
212,2025-02-25 11:18:00,50978.43193701267
213,2025-02-25 11:23:00,48944.6026068896
214,2025-02-25 11:28:00,48501.58771678626
215,2025-02-25 11:33:00,49535.432113739844
216,2025-02-25 11:38:00,49586.48783244252
217,2025-02-25 11:43:00,50648.309261884686
218,2025-02-25 11:48:00,50711.06360668659
219,2025-02-25 11:53:00,
220,2025-02-25 11:58:00,49613.12751862049
221,2025-02-25 12:03:00,45816.477041630744
222,2025-02-25 12:08:00,45206.773288736345
223,2025-02-25 12:13:00,46691.95944904804
224,2025-02-25 12:18:00,47710.93217653334
225,2025-02-25 12:23:00,48177.42948003888
226,2025-02-25 12:28:00,50381.11440808475
227,2025-02-25 12:33:00,
228,2025-02-25 12:38:00,49071.39817690551
229,2025-02-25 12:43:00,46310.98291881144
230,2025-02-25 12:48:00,48576.173160670995
231,2025-02-25 12:53:00,
232,2025-02-25 12:58:00,
233,2025-02-25 13:03:00,49329.840351431965
234,2025-02-25 13:08:00,46205.76782864749
235,2025-02-25 13:13:00,
236,2025-02-25 13:18:00,
237,2025-02-25 13:23:00,50002.35206914544
238,2025-02-25 13:28:00,46233.189736252425
239,2025-02-25 13:33:00,49575.899456110594
240,2025-02-25 13:38:00,50908.27487572253
241,2025-02-25 13:43:00,49924.56204070508
242,2025-02-25 13:48:00,48100.87902023077
243,2025-02-25 13:53:00,50260.58291772187
244,2025-02-25 13:58:00,50822.53016002893
245,2025-02-25 14:03:00,47600.657880043385
246,2025-02-25 14:08:00,47208.21612848818
247,2025-02-25 14:13:00,49685.21805464744
248,2025-02-25 14:18:00,
249,2025-02-25 14:23:00,
250,2025-02-25 14:28:00,50741.500851727724
251,2025-02-25 14:33:00,49730.88653868377
252,2025-02-25 14:38:00,49073.271723387836
253,2025-02-25 14:43:00,49688.64027339041
254,2025-02-25 14:48:00,50207.54010426521
255,2025-02-25 14:53:00,50344.21752803385
256,2025-02-25 14:58:00,48552.98092618525
257,2025-02-25 15:03:00,48621.16035507739
258,2025-02-25 15:08:00,48308.56827144563
259,2025-02-25 15:13:00,50016.27750301659
260,2025-02-25 15:18:00,50264.348935398455
261,2025-02-25 15:23:00,48678.615780535336
